incdtno,year,month,day,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd
1222GP001,22,12,1,1,44,AM,12,31,29,4,1.0,0,1,0,1,M,2,1,3,3,111
1222GP001,22,12,1,1,44,AM,12,31,29,4,1.0,2,142,1,0,M,2,1,2,3,111
1222GP003,22,12,4,10,30,AM,9,31,28,2,1.0,5,3000,0,10,M,2,1,3,3,111
1222GP034,22,12,28,2,0,AM,12,31,30,4,2.0,0,560,4,0,M,2,1,3,3,111
1222GP024,22,12,15,12,0,PM,12,31,26,2,2.0,0,28,0,1,M,2,1,3,3,111
1122GP009,22,11,8,10,15,PM,1,31,65,4,1.0,50,41732,283,0,E,1,4,2,2,47
1122GP016,22,11,21,9,20,AM,1,31,21,2,1.0,5,600,7,2,H,2,1,2,3,111
0822GL009,22,8,8,10,42,AM,1,31,70,2,1.0,5,2555,15,15,T,4,1,3,3,53
0822GP004,22,8,8,9,13,PM,12,31,81,4,2.0,0,143,1,0,H,2,2,3,3,157
0822GP004,22,8,8,9,13,PM,12,31,81,4,2.0,4,20449,141,0,H,2,2,6,6,157
HL0722110,22,7,16,6,21,PM,1,31,82,3,1.0,9,8049,59,53,H,2,1,7,7,55
HL0722101,22,7,2,3,3,AM,1,31,65,4,1.0,1,12735,77,65,H,2,1,2,2,109
172114,22,9,20,3,55,AM,9,31,70,4,1.0,58,0,0,0,M,1,4,4,4,145
PR0922107,22,9,20,3,55,AM,9,31,61,4,2.0,0,0,0,0,M,1,4,3,3,145
PR0922203,22,9,6,1,33,PM,7,31,83,2,1.0,45,2751,0,129,M,1,4,4,4,163
HL1022108,22,10,15,2,10,PM,1,31,72,2,2.0,5,13867,95,34,E,2,1,5,5,109
PR1022109,22,10,18,4,41,AM,13,31,32,1,1.0,2,19128,134,0,H,1,4,3,3,13
171642,22,7,6,6,43,AM,7,31,70,1,2.0,76,0,0,0,M,1,4,10,10,35
HL1222105,22,12,8,5,13,PM,4,31,25,3,5.0,0,575,4,5,M,2,1,3,3,109
HL1222105,22,12,8,5,13,PM,4,31,25,3,5.0,5,2046,12,22,M,2,1,3,2,109
TC0622204,22,6,28,9,20,PM,7,38,67,4,1.0,59,757,0,0,M,1,4,2,2,43
TC0422105,22,4,17,5,0,PM,1,38,30,3,2.0,8,16280,115,0,T,4,1,3,3,97
DR032201,22,3,14,10,24,AM,1,38,25,2,1.0,26,7670,1,0,M,1,2,3,3,75
MT0322101,22,3,11,6,9,AM,13,38,-13,1,1.0,3,607,2,0,H,3,3,32,32,61
MT0722106,22,7,14,4,22,PM,1,38,95,2,1.0,65,5822,77,0,T,1,5,3,3,61
MT1222101,22,12,4,2,52,AM,1,38,10,4,2.0,51,16348,116,0,T,1,5,7,7,105
MT1222101,22,12,4,2,52,AM,1,38,10,4,2.0,0,16588,116,0,T,1,5,3,3,105
MT1022102,22,10,7,2,15,AM,1,38,25,4,1.0,8,1672,6,25,H,2,1,3,3,101
INC102122,22,10,21,12,0,PM,13,38,48,2,1.0,10,3500,26,4,M,1,1,5,5,47
TC0722101,22,7,4,2,35,PM,1,38,77,2,2.0,3,1612,2,43,T,1,1,6,6,69
MT0522101,22,5,1,12,6,AM,1,38,38,4,2.0,55,5921,68,0,T,1,5,7,7,101
1232022,22,1,23,6,25,PM,1,38,5,4,6.0,5,3250,35,0,H,4,1,10,10,77
TC1222120,22,12,23,4,15,PM,1,38,-12,2,1.0,20,152,0,2,M,1,4,9,9,93
DR122202,22,12,23,4,20,PM,1,38,-6,2,6.0,10,3250,25,0,E,1,2,4,4,71
TC1222108,22,12,6,9,25,PM,1,38,0,4,1.0,10,0,114,0,H,4,1,7,4,91
MT0122103,22,1,7,12,13,AM,1,38,-10,4,1.0,32,7586,62,22,E,1,3,2,2,11
144474,22,2,21,4,46,PM,7,37,63,3,1.0,0,0,0,0,M,1,4,3,3,81
151832,22,12,27,8,44,AM,7,37,25,2,1.0,0,0,0,0,M,1,5,3,3,57
145481,22,6,7,11,30,PM,13,37,70,4,1.0,3,0,60,0,H,2,2,5,3,119
145530,22,6,13,3,45,AM,12,37,71,4,1.0,2,0,13,3,H,2,1,8,8,57
145701,22,6,29,10,5,AM,1,37,80,2,1.0,0,377,4,0,H,3,2,5,5,167
145705,22,6,29,8,30,AM,1,37,78,2,1.0,5,0,0,0,T,2,1,2,2,81
171572,22,8,4,3,27,PM,7,37,93,2,1.0,68,0,0,0,M,1,3,1,1,63
202254,22,1,5,11,15,PM,1,37,48,4,2.0,8,0,16,10,E,2,1,7,3,65
221130002,22,11,30,2,40,PM,1,37,51,2,1.0,7,829,4,7,T,4,1,8,8,87
145944,22,7,22,11,30,PM,13,37,80,4,1.0,2,0,1,0,H,2,1,4,4,119
206521,22,5,21,8,0,PM,9,37,72,4,2.0,0,0,0,0,M,1,8,3,3,183
170673,22,5,21,8,0,PM,9,37,79,3,2.0,30,0,0,0,M,1,8,9,9,183
CAG003522,22,8,4,8,0,PM,1,28,84,4,1.0,3,660,71,5,T,2,1,2,2,83
1108121,22,6,22,7,0,AM,13,28,95,1,1.0,0,266,0,2,H,2,1,3,3,113
1104916,22,6,7,8,35,AM,1,28,87,2,1.0,32,19228,133,1,E,1,3,4,4,85
1093785,22,2,2,9,15,AM,7,28,56,2,3.0,0,0,0,0,M,1,4,3,3,83
1096213,22,3,5,8,22,PM,7,28,62,4,1.0,0,0,0,0,M,1,5,3,3,135
1097172,22,3,14,4,45,AM,1,28,53,4,2.0,4,10890,72,56,H,2,1,9,9,49
CAR995122,22,7,22,3,30,PM,1,37,96,2,1.0,5,6860,60,0,T,4,1,9,9,139
207899,22,10,19,11,42,AM,7,37,60,2,1.0,0,0,0,0,M,1,4,3,3,155
172432,22,10,19,11,42,AM,7,37,57,2,1.0,79,0,0,0,M,1,4,1,1,155
151298,22,10,27,1,30,PM,1,37,70,2,1.0,10,0,0,7,H,2,1,3,6,57
0622HL001,22,6,4,1,55,AM,1,29,64,4,1.0,48,12002,80,67,E,1,4,3,3,159
AM10242022,22,10,24,10,30,AM,13,29,45,2,3.0,2,286,1,0,H,2,1,5,5,9
0922HL015,22,9,16,7,15,AM,7,29,60,2,1.0,40,4960,2,108,M,1,3,8,8,95
171095,22,6,27,12,42,PM,7,29,80,2,1.0,89,0,0,0,M,1,5,3,3,41
0422HL009,22,4,13,7,2,PM,7,29,39,3,2.0,0,0,0,0,M,1,4,3,3,51
CH0622203,22,6,27,12,42,PM,7,29,80,2,1.0,0,0,0,0,M,1,5,3,3,41
HL0722119,22,7,25,1,13,AM,1,29,75,4,2.0,6,17177,115,44,H,2,1,9,9,47
HL0722107,22,7,12,8,30,AM,1,29,75,1,1.0,4,1100,7,10,H,2,1,3,2,21
22072201,22,7,22,6,20,PM,1,29,96,2,1.0,3,4284,21,65,H,2,1,7,7,95
HL1022109,22,10,15,4,40,PM,1,29,65,2,1.0,2,4018,21,28,H,2,1,3,9,47
HL0922106,22,9,14,1,10,PM,1,29,85,2,1.0,8,1540,14,0,T,4,1,6,6,77
0622HL001,22,6,4,1,55,AM,1,29,64,4,1.0,0,96,2,0,E,1,4,3,3,159
22040703,22,4,7,8,30,AM,1,29,49,2,2.0,7,8979,59,28,M,2,1,10,10,95
220527004,22,5,27,6,40,PM,1,29,80,2,1.0,5,342,3,4,T,4,1,3,3,95
220528001,22,5,28,12,15,AM,9,29,80,4,1.0,0,342,3,0,H,1,3,3,3,95
HL0522107,22,5,4,8,57,PM,1,29,62,3,2.0,6,14044,87,67,T,2,1,7,7,47
0522HL022,22,5,28,12,15,AM,9,29,69,4,2.0,18,7384,138,0,H,1,3,8,8,95
HL0822113,22,8,16,12,5,PM,13,29,85,2,1.0,2,10125,63,95,H,1,4,6,6,99
HL0822204,22,8,29,4,5,PM,7,29,90,2,1.0,51,20594,144,0,M,1,4,5,5,183
22030501,22,3,5,3,7,PM,12,29,60,2,2.0,4,828,4,8,M,2,1,8,8,95
